-- departmentsテーブル
INSERT INTO departments (department_id,name,staff_id,stage,creator, created_at, updater,updated_at,version)
VALUES 
(1,'Webエンジニア','AP-202','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(2,'インフラエンジニア','CL-202','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(3,'機械学習エンジニア','ML-202','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(4,'営業','sales','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(5,'管理者','admin','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(9,'仮ユーザー','pending','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1);

SELECT * FROM departments;

-- passwordハッシュ化版（すべてpassword=Aaaaa123）
INSERT INTO users 
(name,hired_on,department_id,email,password,stage,
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web15','2020-01-01',1,'Web15@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web16','2020-01-01',1,'Web16@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web17','2020-01-01',1,'Web17@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web18','2020-01-01',1,'Web18@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web19','2020-01-01',1,'Web19@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web20','2020-01-01',1,'Web20@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL1','2020-01-01',2,'CL1@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL2','2020-01-01',2,'CL2@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL3','2020-01-01',2,'CL3@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL4','2020-01-01',2,'CL4@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL5','2020-01-01',2,'CL5@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL6','2020-01-01',2,'CL6@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL7','2020-01-01',2,'CL7@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL8','2020-01-01',2,'CL8@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL9','2020-01-01',2,'CL9@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL10','2020-01-01',2,'CL10@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL11','2020-01-01',2,'CL11@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL12','2020-01-01',2,'CL12@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL13','2020-01-01',2,'CL13@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL14','2020-01-01',2,'CL14@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL15','2020-01-01',2,'CL15@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL16','2020-01-01',2,'CL16@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL17','2020-01-01',2,'CL17@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL18','2020-01-01',2,'CL18@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL19','2020-01-01',2,'CL19@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('CL20','2020-01-01',2,'CL20@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML1','2020-01-01',3,'ML1@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML2','2020-01-01',3,'ML2@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML3','2020-01-01',3,'ML3@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML4','2020-01-01',3,'ML4@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML5','2020-01-01',3,'ML5@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML6','2020-01-01',3,'ML6@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML7','2020-01-01',3,'ML7@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML8','2020-01-01',3,'ML8@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML9','2020-01-01',3,'ML9@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML10','2020-01-01',3,'ML10@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML11','2020-01-01',3,'ML11@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML12','2020-01-01',3,'ML12@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML13','2020-01-01',3,'ML13@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML14','2020-01-01',3,'ML14@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML15','2020-01-01',3,'ML15@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML16','2020-01-01',3,'ML16@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML17','2020-01-01',3,'ML17@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML18','2020-01-01',3,'ML18@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML19','2020-01-01',3,'ML19@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('ML20','2020-01-01',3,'ML20@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('sale1','2020-01-01',4,'sale1@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('sale2','2020-01-01',4,'sale2@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('sale3','2020-01-01',4,'sale3@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('sale4','2020-01-01',4,'sale4@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('sale5','2020-01-01',4,'sale5@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('admin1','2020-01-01',5,'admin1@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('admin2','2020-01-01',5,'admin2@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('admin3','2020-01-01',5,'admin3@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('admin4','2020-01-01',5,'admin4@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('admin5','2020-01-01',5,'admin5@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1);

SELECT * FROM users;

-- engineer_skills テーブル
delete from engineer_skills where engineer_skill_id != 0;

ALTER TABLE `engineer_skills` auto_increment = 1;

INSERT INTO engineer_skills  (name,department_id,stage,creator, created_at, updater,updated_at,version)
VALUES 
('プログラム',1,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('データベース',1,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('ネットワーク',1,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('OS',1,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('ハードウェア',1,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('セキュリティ',1,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('ミドルウェア',1,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1);

SELECT * FROM engineer_skills ;

-- インフラ、機械学習用も追加する場合
INSERT INTO engineer_skills (name,department_id,stage,creator, created_at, updater,updated_at,version)
VALUES
('インフラサンプル1',2,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('インフラサンプル2',2,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('インフラサンプル3',2,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('インフラサンプル4',2,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('インフラサンプル5',2,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('インフラサンプル6',2,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('インフラサンプル7',2,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('機械学習サンプル1',3,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('機械学習サンプル2',3,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('機械学習サンプル3',3,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('機械学習サンプル4',3,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('機械学習サンプル5',3,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('機械学習サンプル6',3,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('機械学習サンプル7',3,'0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1);


-- basic_skillsテーブル
delete from basic_skills where basic_skill_id != 0;
ALTER TABLE `basic_skills` auto_increment = 1;

INSERT INTO basic_skills (name,department_id,stage,creator, created_at, updater,updated_at,version)
VALUES 
-- 正式に決定した基本スキル
('フィジカル',1,'0','藤井勇気','2020-07-21 9:00:00.000000','藤井勇気','2020-07-21 9:00:00.000000',1),
('メンタル',1,'0','藤井勇気','2020-07-21 9:00:00.000000','藤井勇気','2020-07-21 9:00:00.000000',1),
('問題解決力',1,'0','藤井勇気','2020-07-21 9:00:00.000000','藤井勇気','2020-07-21 9:00:00.000000',1),
